"142","FINAL LIST OF CANDIDATES FOR NATIONAL ELECTIONS - (PRESIDENTIAL, SENATORIAL AND HOUSE OF REPRESENTATIVES)","","","","","","","","",""
"36","ABIA","Isiala Ngwa North /","ONWUSIBE GINGER OBINNA","LP","None","50","M","FSLC WASC/GCE","",""
"","","Isiala Ngwa South","","","","","","","",""
"37","","Isiala Ngwa North /","MADUGBA KELECHI","NNPP","None","57","M","PRIMARY CERTIFICATE","",""
"","","Isiala Ngwa South","","","","","","WAEC","",""
"38","","Isiala Ngwa North /","ERONDU  UCHE BUZ","NRM","None","49","M","FIRST SCHOOL LEAVING","",""
"","","Isiala Ngwa South","","","","","","CERTIFICATE WAEC","",""
"","","","","","","","","NIGERIA CERTIFICATE IN","",""
"","","","","","","","","EDUCATION","",""
"39","","Isiala Ngwa North /","AGBAZUERE ANTHONY","PDP","None","58","M","FSLC WAEC/GCE NCE, BA,","",""
"","","Isiala Ngwa South","CHIDI BRAINS","","","","","LLB, BL, LLM, PH.D","",""
"40","","Isiala Ngwa North /","OGWUMA OBIOMA","PRP","None","58","M","FIRST SCHOOL LEAVING","",""
"","","Isiala Ngwa South","ONYECHERELAM","","","","","CERTIFICATE WAEC","",""
"41","","Isiala Ngwa North /","NWAOKIKE","SDP","None","44","M","PRIMARY SCHOOL CERT","",""
"","","Isiala Ngwa South","NKWACHUKWERE STANLEY","","","","","SECONDARY SCHOOL","",""
"","","","CHUKWUDI","","","","","CERT DIPLOMA","",""
"42","","Isiala Ngwa North /","NWOGU LUCKY MICHAEL","YPP","None","44","M","FSLC WAEC","",""
"","","Isiala Ngwa South","","","","","","","",""
"43","ABIA","Isuikwuato/Umu-","NZEACNOCHE FAVOUR","ADC","None","49","F","","",""
"","","Nneochi","","","","","","","",""
"44","","Isuikwuato/Umu-","ONYEJEOCHA NKEIRUKA","APC","None","52","F","First School Leaving","",""
"","","Nneochi","CHIOUBEM","","","","","Certificate WAEC BSc","",""
"45","","Isuikwuato/Umu-","RUFUS - OBI ONYINYE KAY","APGA","None","53","F","FIRST SCHOOL LEAVING","",""
"","","Nneochi","","","","","","CERTIFICATE WASSCE /","",""
"","","","","","","","","GCE B.Sc OPTOMERY","",""
"46","","Isuikwuato/Umu-","OBENWA LILIAN CHINASA","APP","None","42","F","FSLC SSCE","",""
"","","Nneochi","","","","","","","",""
"47","","Isuikwuato/Umu-","OGAH AMOBI GODWIN","LP","None","42","M","FSLC NECO BSC","",""
"","","Nneochi","","","","","","","",""
"48","","Isuikwuato/Umu-","UGBA UGOCHUKWU","NNPP","None","52","M","PRIMARY CERTIFICATE","",""
"","","Nneochi","BROWN","","","","","WAEC BSc","",""
"49","","Isuikwuato/Umu-","OFOEGBU LOVETH NONYE","PDP","None","44","F","FSLC WAEC BL","",""
"","","Nneochi","","","","","","","",""
"50","ABIA","Isuikwuato/Umu-","OCHUBA IKEMEFULA","SDP","None","52","M","NGODO PRIMARY","",""
"","","Nneochi","IKECHUKWU","","","","","SCHOOL, UMUDIM","",""
"","","","","","","","","ISUOCHI SECONDARY","",""
"","","","","","","","","SCHOOL","",""
"51","","Isuikwuato/Umu-","ONU CHARLES","YPP","None","47","M","FSLC WAEC","",""
"","","Nneochi","UGOCHUKWU","","","","","","",""
"52","","Obingwa/Ugwunagbo/","EMEREOLE  UZOAMAKA","ADC","None","42","M","FLSC WAEC BSC","",""
"","","Osisioma","","","","","","","",""
"53","","Obingwa/Ugwunagbo/","CHIDIEBERE TIMOTHY","APC","None","34","M","First School Leaving","",""
"","","Osisioma","CHARLES","","","","","Certificate WAEC","",""
"54","","Obingwa/Ugwunagbo/","ADAELU  EZININA","APGA","None","50","M","FIRST SCHOOL LEAVING","",""
"","","Osisioma","ONYEMAOBI","","","","","CERTIFICATE WASSCE","",""
"","","","","","","","","BACHELORS DEGREE","",""
"55","","Obingwa/Ugwunagbo/","PAUL SUNNY-DANIEL","APP","None","56","M","FSLC SSCE B.ENG","",""
"","","Osisioma","UWANDU","","","","","","",""
"56","","Obingwa/Ugwunagbo/","ALOZIE MUNACHIM IKECHI","LP","None","61","M","FSLC WASC/GCE","",""
"","","Osisioma","","","","","","","",""
"57","ABIA","Obingwa/Ugwunagbo/","IHERIE OBINNA DESMOND","NNPP","None","56","M","PRIMARY LEAVING","",""
"","","Osisioma","","","","","","CERTIFICATE WAEC","",""
"58","","Obingwa/Ugwunagbo/","NWANGANGA CHINWENDU","PDP","None","66","M","FSLC WAEC","",""
"","","Osisioma","JENSEN","","","","","","",""
"59","","Obingwa/Ugwunagbo/","IROKWE JOHN","SDP","None","52","M","PRIMARY SCHOOL CERT","",""
"","","Osisioma","","","","","","SECONDARY SCHOOL","",""
"","","","","","","","","CERT","",""
"60","","Obingwa/Ugwunagbo/","NWOKE MICHAEL IBE","YPP","None","42","M","FSLC WASSCE BSC","",""
"","","Osisioma","","","","","","","",""
"61","","Ukwa East/Ukwa West","AKPULONU LAWSON","ADC","None","77","M","FLSC WAEC BSC","",""
"62","","Ukwa East/Ukwa West","NWOKE ADINIGWE","APGA","None","49","M","FIRST SCHOOL LEAVING","",""
"","","","UGOCHUKWU","","","","","CERTIFICATE GENERAL","",""
"","","","","","","","","CERTIFICATE OF","",""
"","","","","","","","","EDUCATION","",""
"63","","Ukwa East/Ukwa West","NWAJI SYLVANUS UZOMA","APP","None","60","M","FSLC SSCE PGD","",""
"64","ABIA","Ukwa East/Ukwa West","STANLEY IRENE","LP","None","50","F","FSLC WASC/GCE BSC","",""
"","","","AGWABUNMA","","","","","","",""
"65","","Ukwa East/Ukwa West","NWOKEOCHA CHINEDU","NNPP","None","41","M","PRIMARY CERTIFICATE","",""
"","","","OKECHUKWU","","","","","WAEC BSc,MSc","",""
"66","","Ukwa East/Ukwa West","NKWONTA CHRISTIAN","PDP","None","61","M","FSLC GCE","",""
"67","","Ukwa East/Ukwa West","NWOLOKI EZE LUCKY","PRP","None","55","M","FIRST SCHOOL LEAVING","",""
"","","","","","","","","CERTIFICATE WAEC","",""
"","","","","","","","","certificate","",""
"68","","Ukwa East/Ukwa West","AMAECHI SAMUEL","SDP","None","43","M","PRIMARY SCHOOL CERT","",""
"","","","","","","","","SECONDARY SCHOOL","",""
"","","","","","","","","CERT","",""
"69","","Ukwa East/Ukwa West","OGOLO BRIGHT BENSON","YPP","None","42","M","FSLC SSCE BSC","",""
"70","","Umuahia North/","OKORIE-EJIKEME SUSAN","AA","None","41","F","F.L.S.C WAEC LLB (HONS)","",""
"","","Umuahia South/","","","","","","","",""
"","","Ikwuano","","","","","","","",""
"71","ABIA","Umuahia North/","NWOSU OBINNA,","ADC","None","31","M","SCHOOL LEAVING","",""
"","","Umuahia South/","LAWRENCE","","","","","CERTIFICATE WASC BSC,","",""
"","","Ikwuano","","","","","","MSC, CNA","",""
"72","","Umuahia North/","OGBONNA OBILO KENNETH","APC","None","42","M","First School Leaving","",""
"","","Umuahia South/","","","","","","Certificate WAEC MSC","",""
"","","Ikwuano","","","","","","","",""
"73","","Umuahia North/","ABARIKWU OGBONNA IBEJI","APGA","None","62","M","FIRST SCHOOL LEAVING","",""
"","","Umuahia South/","","","","","","CERTIFICATE WASSCE","",""
"","","Ikwuano","","","","","","UNIVERSITY OF","",""
"","","","","","","","","COLORADO","",""
"74","","Umuahia North/","IJEBUONWU EMMANUEL","APM","None","54","M","FIRST SCHOOL LEAVING","",""
"","","Umuahia South/","OBIAJUNWA","","","","","CERTIFICATE WAEC/GCE","",""
"","","Ikwuano","","","","","","","",""
"75","","Umuahia North/","NNAMDI OGBUAGU","APP","None","49","M","FSLC","",""
"","","Umuahia South/","","","","","","","",""
"","","Ikwuano","","","","","","","",""
"76","","Umuahia North/","AGUOCHA OBINNA","LP","None","55","M","FSLC WASC/GCE","",""
"","","Umuahia South/","","","","","","","",""
"","","Ikwuano","","","","","","","",""
"77","","Umuahia North/","OKORIE ULARINMA","NNPP","None","47","F","PRIMARY LEAVING","",""
"","","Umuahia South/","PATIENCE","","","","","CERTIFICATE WAEC","",""
"","","Ikwuano","","","","","","","",""
"78","ABIA","Umuahia North/","IBEKWE CHRISTIAN","NRM","None","67","M","B.SC","",""
"","","Umuahia South/","EKPERECHI","","","","","","",""
"","","Ikwuano","","","","","","","",""
"79","","Umuahia North/","ORJI CHINEDUM","PDP","None","51","M","FSLC WAEC BACHELOR OF","",""
"","","Umuahia South/","ENYINNAYA","","","","","ENGINEERING","",""
"","","Ikwuano","","","","","","","",""
"80","","Umuahia North/","OGBUEHI IKEMEFULA","SDP","None","52","M","PRIMARY SCHOOL CERT","",""
"","","Umuahia South/","","","","","","UNIVERSITY OF CALABAR","",""
"","","Ikwuano","","","","","","","",""
"81","","Umuahia North/","OGBUNDIOGU FRIDAY","YPP","None","40","M","FSLC WASSCE BSC","",""
"","","Umuahia South/","CHIMOBI","","","","","","",""
"","","Ikwuano","","","","","","","",""
"","Adamawa State","","","","","","","","",""
"150","FINAL LIST OF CANDIDATES FOR NATIONAL ELECTIONS - (PRESIDENTIAL, SENATORIAL AND HOUSE OF REPRESENTATIVES)","","","","","","","","",""
"S/N","STATE","CONSTITUENCY","NAME OF CANDIDATE","PARTY","PWD","AGE","GENDER","QUALIFICATION","REMARKS",""
"1","ADAMAWA","Demsa/Numan/","BATALU PRINCE MOSES","ADC","None","45","M","FIRST SCHOOL LEAVING","",""
"","","Lamurde","","","","","","CERTIFICATE SSCE","",""
"2","","Demsa/Numan/","NZONZO VRATI SAHULAMA","APC","None","43","M","PRIMARY SCHOOL","",""
"","","Lamurde","","","","","","CERTIFICATE SSCE DEGREE","",""
"3","","Demsa/Numan/","MICHEAL ZIDON KUFOR","LP","None","68","M","FSLC SSCE","",""
"","","Lamurde","","","","","","","",""
"4","","Demsa/Numan/","SASHI RON","NNPP","None","48","M","PRIMARY SCHOOL","",""
"","","Lamurde","","","","","","LEAVING CERTIFICATE","",""
"","","","","","","","","SSCE ND, HND","",""
"5","","Demsa/Numan/","LAORI BITRUS KWAMOTI","PDP","None","55","M","FSLC G.C.E. LL.B","",""
"","","Lamurde","","","","","","","",""
"6","","Demsa/Numan/","GAMA UZAIFA","PRP","None","35","M","First School Leaving","",""
"","","Lamurde","","","","","","Certificate SENIOR","",""
"","","","","","","","","SCHOOL CERTIFICATE","",""
"","","","","","","","","EXAMINATION Adamawa","",""
"","","","","","","","","State","",""
"7","","Demsa/Numan/","GEORGE BOBBY IBBI","SDP","None","37","M","FSLC WAEC","",""
"","","Lamurde","","","","","","","",""
"8","ADAMAWA","FUFORE/SONG","MUHAMMAD  YAWALE","ADC","None","47","F","FIRST SCHOOL LEAVING","",""
"","","","","","","","","CERTIFICATE WASC","",""
"9","","FUFORE/SONG","ALIYU WAKILI BOYA","APC","None","44","M","FSLC, SSCE, DIP, LLB, BL","COURT",""
"","","","","","","","","","ORDER",""
"10","","FUFORE/SONG","JALO UMAR ALHAJI","LP","None","32","M","FSLC SSCE B. Sc","",""
"11","","FUFORE/SONG","ISA SIMON","NNPP","None","51","M","PRIMARY SCHOOL","",""
"","","","","","","","","LEAVING","",""
"","","","","","","","","CERTIFICATE SSCE","",""
"","","","","","","","","DIPLOMA","",""
"12","","FUFORE/SONG","SAIDU MUHAMMED","PDP","None","61","M","FSLC GRADE II TEACHERS","",""
"","","","MUSTAFA","","","","","CERTIFICATE MSc.","",""
"13","","FUFORE/SONG","IBRAHIM MOHAMMED","PRP","None","60","M","First School Leaving","",""
"","","","DULO","","","","","Certificate SENIOR","",""
"","","","","","","","","SCHOOL CERTIFICATE","",""
"","","","","","","","","EXAMINATION Diploma in","",""
"14","","FUFORE/SONG","AMINU HAMMAN TUKUR","SDP","None","32","M","CENTRAL PRIMARY","",""
"","","","","","","","","SCHOOL FUFORE","",""
"","","","","","","","","GOVERNMENT","",""
"","","","","","","","","SECONDARY SCHOOL","",""
"15","ADAMAWA","Gombi/Hong","FAKUTA  HYELLAGIZIYU","ADC","None","30","F","FIRST SCHOOL LEAVING","",""
"","","","NAIWA","","","","","CERTIFICATE  SECONDARY","",""
"","","","","","","","","SCHOOL CERTIFICATE","",""
"16","","Gombi/Hong","BUBA YUSUF YAKUB","APC","None","53","M","FIRST SCHOOL LEAVING","",""
"","","","","","","","","CERTIFICATE WAEC B.SC","",""
"","","","","","","","","POLITICAL SCIENCE","",""
"17","","Gombi/Hong","BARDE NAATI","LP","None","35","M","FIRST SCHOOL LEAVING","",""
"","","","","","","","","CERTIFICATE NABTECH/","",""
"","","","","","","","","SSCE, HND","",""
"18","","Gombi/Hong","ATIKU MOHAMMED","NNPP","None","43","M","PRIMARY SCHOOL","",""
"","","","HAYATU","","","","","CERTIFICATE SSCE","",""
"","","","","","","","","DIPLOMA","",""
"19","","Gombi/Hong","BARKA JAMES SHUIABU","PDP","None","60","M","FSLC GRADE II TEACHERS","",""
"","","","","","","","","CERTIFICATE BSc.","",""
"20","","Gombi/Hong","SA'AD AHMED","SDP","None","41","M","PRIMARY SCHOOL CERT","",""
"","","","","","","","","SSCE HND","",""
"21","","Guyuk/Shelleng","SUNDAY  AMOS","ADC","None","42","M","FIRST SCHOOL LEAVING","",""
"","","","","","","","","CERTIFICATE WASC B.SC","",""
"22","ADAMAWA","Guyuk/Shelleng","DANIEL HARUNA","APC","None","48","M","FIRST SCHOOL LEAVING","",""
"","","","TABWARAKAN","","","","","CERTIFICATE SENIOR","",""
"","","","","","","","","SCHOOL CERTIFICATE","",""
"23","","Guyuk/Shelleng","KWAWO JIM AUDU","LP","None","57","M","FSLC SSCE","",""
"24","","Guyuk/Shelleng","SILAS WUSSA","NNPP","None","40","M","PRIMARY SCHOOL","",""
"","","","","","","","","CERTIFICATE SSCE","",""
"","","","","","","","","BACHELOR DEGREE","",""
"25","","Guyuk/Shelleng","THIMNU KOBIS ARI","PDP","None","62","M","G.C.E.","",""
"26","","Guyuk/Shelleng","HASSAN ALIYU","PRP","None","38","M","First School Leaving","",""
"","","","","","","","","Certificate SENIOR","",""
"","","","","","","","","SCHOOL CERTIFICATE","",""
"","","","","","","","","EXAMINATION","",""
"27","","Guyuk/Shelleng","BUBA YERO ABUBAKAR","SDP","None","48","M","PRIMARY SCHOOL","",""
"","","","","","","","","CERT SENIOR SCHOOL","",""
"","","","","","","","","CERTIFICATE","",""
"28","","Guyuk/Shelleng","SULEIMAN SADIQ","ZLP","None","31","M","NABTEB INDEPENDENT","",""
"","","","","","","","","NATIONAL ELECTORAL","",""
"","","","","","","","","COMMISSION","",""
"29","ADAMAWA","Madagali/Michika","YOHANNA COMRADE","ADC","None","43","M","FIRST SCHOOL LEAVING","",""
"","","","SHEHU","","","","","CERTIFICATE WASC","",""
"30","","Madagali/Michika","AYUBA JOSEPH, KWADA","APC","None","54","M","FIRST SCHOOL LEAVING","",""
"","","","","","","","","CERTIFICATE SENIOR","",""
"","","","","","","","","SCHOOL CERTIFICATE","",""
"","","","","","","","","THEOLOGY","",""
"31","","Madagali/Michika","KWECHE ILIYA YAME","LP","None","56","M","FIRST SCHOOL LEAVING","",""
"","","","","","","","","CERTIFICATE GCE LL.B","",""
"32","","Madagali/Michika","SAIDU MOHAMMED","NNPP","None","48","M","PRIMARY SCHOOL","`",""
"","","","BASHIR","","","","","CERTIFICATE THEOLOGY","",""
"","","","","","","","","BACHELOR DEGREE,","",""
"","","","","","","","","CERTIFICATE SSCE","",""
"33","","Madagali/Michika","NYAMPA ZAKARIA DAUDA","PDP","None","48","M","FSLC G.C.E. BSc.","",""
"34","","Madagali/Michika","ALI IBRAHIM GADZAMA","PRP","None","46","M","certificate of primary","",""
"","","","","","","","","education SENIOR","",""
"","","","","","","","","SCHOOL CERTIFICATE","",""
"","","","","","","","","EXAMINATION Diploma in","",""
"","","","","","","","","Audio","",""
"35","","Madagali/Michika","ZAILANI  SANUSI YAHYA","SDP","None","34","M","FSLC WAEC DIPLOMA","",""
"36","ADAMAWA","Madagali/Michika","ADAMU PAUL SOMA","YPP","None","36","M","FSLC NECO","",""
"37","","Maiha/Mubi North/","HASSAN  SULAIMAN","ADC","None","43","M","FIRST SCHOOL LEAVING","",""
"","","Mubi South","SAAIBU","","","","","CERTIFICATE WASC B.SC","",""
"38","","Maiha/Mubi North/","MAGAJI JAAFAR ABUBAKAR","APC","None","42","M","NABTEB","",""
"","","Mubi South","","","","","","","",""
"39","","Maiha/Mubi North/","ELKANA SIMON","LP","None","35","M","FSLC SSCE","",""
"","","Mubi South","","","","","","","",""
"40","","Maiha/Mubi North/","MOHAMMED  DAUDA","NNPP","None","32","M","PRIMARY SCHOOL","",""
"","","Mubi South","","","","","","LEAVING CERTIFICATE","",""
"","","","","","","","","SSCE ND, HND, BACHELOR","",""
"","","","","","","","","DEGREE","",""
"41","","Maiha/Mubi North/","RUFA'I JINGI","PDP","None","58","M","FSLC G.C.E. BSc.","",""
"","","Mubi South","","","","","","","",""
"42","","Maiha/Mubi North/","ABUBAKAR IDRIS ZUBAIRU","PRP","None","34","M","PRIMARY CERTIFICATE1998","",""
"","","Mubi South","","","","","","SENIOR SCHOOL","",""
"","","","","","","","","CERTIFICATE","",""
"","","","","","","","","EXAMINATION BLS(Hons)","",""
"43","ADAMAWA","Maiha/Mubi North/","IYA BABA MOHAMMED","SDP","None","48","M","LOKUWA I PRIMARY","",""
"","","Mubi South","","","","","","SCHOOL MUBI GOVT.","",""
"","","","","","","","","TECHNICAL SECONDARY","",""
"","","","","","","","","SCHOOL MUBI","",""
"44","","Mayo Belwa/Ganye/","ADAMU  GARBA MUSA","ADC","None","42","M","FIRST SCHOOL LEAVING","",""
"","","Jada /Toungo","","","","","","CERTIFICATE WASC HND","",""
"45","","Mayo Belwa/Ganye/","IBRAHIM MAS'UD USMAN","APC","None","30","M","PRIMARY SCHOOL","",""
"","","Jada /Toungo","","","","","","LEAVING CERTIFICATE","",""
"","","","","","","","","NECO","",""
"46","","Mayo Belwa/Ganye/","ALI ABBAS","LP","None","48","M","FSLC SSCE B. Sc","",""
"","","Jada /Toungo","","","","","","","",""
"47","","Mayo Belwa/Ganye/","MOHAMMED BELLO","NNPP","None","42","M","PRIMARY SCHOOL","",""
"","","Jada /Toungo","","","","","","LEAVING CERTIFICATE","",""
"","","","","","","","","SSCE BACHELOR DEGREE","",""
"48","","Mayo Belwa/Ganye/","BASSI MOHAMMED INUWA","PDP","None","62","M","FSLC SSCE ND","",""
"","","Jada /Toungo","","","","","","(PROFESSIONAL)","",""
"49","","Mayo Belwa/Ganye/","BALA AMINU MUHAMMAD","PRP","None","42","M","CERTIFICATE OF PRIMARY","",""
"","","Jada /Toungo","","","","","","EDUCATION SENIOR","",""
"","","","","","","","","SCHOOL CERTIFICATE","",""
"","","","","","","","","EXAMINATION","",""
"50","ADAMAWA","Mayo Belwa/Ganye/","IYA YUNUSA BABA","SDP","None","58","M","PRIMARY SCHOOL CERT","",""
"","","Jada /Toungo","","","","","","SSCE MASTER IN ARTS","",""
"","","","","","","","","(STRATEGIC STUDIES)","",""
"51","","Mayo Belwa/Ganye/","HAMMANYERO","YPP","None","39","M","FSLC WAEC,NECO BSC","",""
"","","Jada /Toungo","NURUDDEEN","","","","","","",""
"52","","Mayo Belwa/Ganye/","KAWU ABUBAKAR","ZLP","None","45","M","NCE","",""
"","","Jada /Toungo","","","","","","","",""
"53","","Yola North/Yola","USMAN ALIYU WAZIRI","ADC","None","33","M","FIRST SCHOOL LEAVING","",""
"","","South/Girei","","","","","","CERTIFICATE SSCE HND","",""
"54","","Yola North/Yola","ZANGO BABA ABUBAKAR","APC","None","58","M","WAEC","",""
"","","South/Girei","","","","","","","",""
"55","","Yola North/Yola","HUSSAIN JAMILA","APM","None","25","F","FSLC NECO","",""
"","","South/Girei","","","","","","","",""
"56","","Yola North/Yola","MOHAMMED AMINU","LP","None","38","M","FSLC SSCE B. Sc","",""
"","","South/Girei","","","","","","","",""
"57","ADAMAWA","Yola North/Yola","ABUBAKAR LAWAL GARBA","NNPP","None","58","M","PRIMARY SCHOOL","",""
"","","South/Girei","","","","","","CERTIFICATE SSCE","",""
"","","","","","","","","BACHELOR DEGREE,","",""
"","","","","","","","","MASTERS","",""
"58","","Yola North/Yola","MOHAMMED SALIHU","PDP","None","43","M","FSLC, SSCE","",""
"","","South/Girei","","","","","","","",""
"59","","Yola North/Yola","HAMMANJODA ABUBAKAR","PRP","None","52","M","PRIMARY SCHOOL","",""
"","","South/Girei","USMAN","","","","","CERTIFICATE","",""
"","","","","","","","","SENIOR SCHOOL","",""
"","","","","","","","","CERTIFICATE","",""
"","","","","","","","","EXAMINATION","",""
"60","","Yola North/Yola","RUFAU MUHAMMADU","SDP","None","41","M","FIRST SCHOOL LEAVING","",""
"","","South/Girei","BUHARI","","","","","CERT","",""
"","","","","","","","","SECONDARY SCHOOL","",""
"","","","","","","","","CERT","",""
"","Akwa Ibom","","","","","","","","",""
"156","FINAL LIST OF CANDIDATES FOR NATIONAL ELECTIONS - (PRESIDENTIAL, SENATORIAL AND HOUSE OF REPRESENTATIVES)","","","","","","","","",""
"S/N","STATE","CONSTITUENCY","NAME OF CANDIDATE","PARTY","PWD","AGE","GENDER","QUALIFICATION","REMARKS",""
"1","AKWA IBOM","Abak/Etim Ekpo/Ika","SANDY OFONIME","A","None","35","M","FSLC SSC","",""
"","","","IBANGA","","","","","","",""
"2","","Abak/Etim Ekpo/Ika","SARAH FRIDAY, UDOH","ADC","None","32","F","","",""
"3","","Abak/Etim Ekpo/Ika","EFIK UNYIME FRIDAY","ADP","None","28","M","FLSC NECO","",""
"4","","Abak/Etim Ekpo/Ika","JIMBO INEMESIT","APC","None","39","M","F S L C WAEC BSC","",""
"","","","CLEMENT","","","","","","",""
