"S/N","STATE","CONSTITUENCY","PARTY","POSITION","CANDIDATE_NAME","PWD","AGE","GENDER","QUALIFICATIONS","REMARKS"
"","","NORTH","","","ILOBINUNO","","","","",""
"115","ANAMBRA","ANAMBRA","NRM","Senate","OLIEH NDIDI CHRISTIANA","None","39","F","FIRST SCHOOL",""
"","","NORTH","","","","","","","LEAVING CERTIFICATE",""
WEST AFRICAN",""
SCHOOL CERTIFICATE",""
B.Sc",""
"116","ANAMBRA","ANAMBRA","NRM","Senate","IKECHUKWU  AZUBUIKE","None","48","M","FIRST SCHOOL",""
"","","CENTRAL","","","OCHULO","","","","LEAVING CERTIFICATE",""
WEST AFRICAN",""
SCHOOL CERTIFICATE",""
MSC. PROJECT",""
MANAGEMENT TECH",""
"117","ANAMBRA","ANAMBRA","PDP","Senate","ODUAH STELLA ADAEZE","None","60","F","FSLC GCE",""
"","","NORTH","","","","","","","",""
"118","ANAMBRA","ANAMBRA","PDP","Senate","EKWUNIFE LILIAN UCHE","None","51","F","FSLC SSCE BSC, MSC,",""
"","","CENTRAL","","","","","","","PHD",""
"119","ANAMBRA","ANAMBRA","PDP","Senate","UBAH CHUKWUNEDUM","None","65","M","FSLC WAEC",""
"","","SOUTH","","","CHRISTIAN","","","","",""
"124","ANAMBRA","ANAMBRA","YPP","Senate","UMEADI CHINEDU","None","47","M","FSLC SSCE MBBS,",""
"","","CENTRAL","","","ANTHONY","","","","MPH, PHD",""
"125","ANAMBRA","ANAMBRA","YPP","Senate","OKOYE IGWEBUIKE JULIUS","None","38","M","FSLC WASSCE BSC",""
"","","NORTH","","","","","","","",""
"126","ANAMBRA","ANAMBRA","ZLP","Senate","NDIKORA PHILIP CHIGOZIE","None","46","M","HND",""
"127","BAUCHI","BAUCHI SOUTH","AA","Senate","BULUS AKILA MBUMMA","None","55","M","F.S.L.C  GCE HND",""
"128","BAUCHI","BAUCHI","AAC","Senate","NUHU MISBAHU","None","37","M","FSLC WAEC N.C.E",""
"","","CENTRAL","","","","","","","",""
"129","BAUCHI","BAUCHI NORTH","ADC","Senate","ABDULMUMINI SANI","None","46","M","",""
"130","BAUCHI","BAUCHI","ADC","Senate","KAWU MUHAMMAD","None","43","M","",""
"","","CENTRAL","","","","","","","",""
"131","BAUCHI","BAUCHI SOUTH","ADC","Senate","TAHIR USMAN, NAZIRU","None","38","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WASC DIPLOMA",""
"132","BAUCHI","BAUCHI","ADP","Senate","MUSA IBRAHIM LIMAN","None","52","M","FIRST SCHOOL",""
"","","CENTRAL","","","","","","","LEAVING CERTIFICATE",""
"133","BAUCHI","BAUCHI NORTH","ADP","Senate","IBRAHIM MOHAMMED","None","37","M","FIRST SCHOOL",""
"","","","","","SANI","","","","LEAVING CERTIFICATE",""
SSCE",""
"134","BAUCHI","BAUCHI SOUTH","ADP","Senate","YAHAYA IDRIS","None","43","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE ND",""
"135","BAUCHI","BAUCHI NORTH","APC","Senate","IBRAHIM SIRAJO TANKO","None","37","M","FSLC WASC B.SC",""
"136","BAUCHI","BAUCHI","APC","Senate","AHMED NANA UBA","None","60","M","PRIMARY SCHOOL",""
"","","CENTRAL","","","","","","","LEAVING CERTIFICATE",""
G.C.E O-LEVEL B.SC",""
CHEMISTRY",""
"137","BAUCHI","BAUCHI SOUTH","APC","Senate","UMAR SHEHU BUBA","None","45","M","LEAVING SCHOOL",""
CERTIFICATE GDSS",""
"139","BAUCHI","BAUCHI","APP","Senate","HARUNA ADAMU","None","42","M","FSLC  DIPLOMA",""
"","","CENTRAL","","","","","","","",""
"140","BAUCHI","BAUCHI NORTH","APP","Senate","DALADI USMAN","None","42","M","B.E.D",""
"141","BAUCHI","BAUCHI SOUTH","APP","Senate","IDRIS HASSAN","None","41","M","SSCE DIPLOMA",""
"142","BAUCHI","BAUCHI SOUTH","LP","Senate","SANI AHMED","None","39","M","FSLC SSCE LL.B",""
"143","BAUCHI","BAUCHI","LP","Senate","SAMBO SALISU JIBRIN","None","35","M","FSLC SSCE B. Sc",""
"","","CENTRAL","","","","","","","",""
"144","BAUCHI","BAUCHI","NNPP","Senate","SEN. ISAH HAMMA MISAU","None","48","M","PRIMARY LEAVEN",""
"","","CENTRAL","","","","","","","CERTIFICATE SSCE",""
Bsc, MLC, MIAD",""
"145","BAUCHI","BAUCHI SOUTH","NNPP","Senate","YAHAYA LAWAL GUMA'U","None","53","M","PRIMARY",""
CERTIFICATE SSCE",""
IJMB, BS.C",""
"146","BAUCHI","BAUCHI NORTH","NNPP","Senate","MIJINYAWA GHAZALI","None","48","M","SSCE BS.C",""
"","","","","","MOHAMMED","","","","",""
"147","BAUCHI","BAUCHI NORTH","NRM","Senate","ALI IBRAHIM","None","52","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WEST AFRICAN",""
SCHOOL CERTIFICATE",""
"148","BAUCHI","BAUCHI SOUTH","NRM","Senate","UMAR DANLADI","None","37","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WEST AFRICAN",""
SCHOOL CERTIFICATE",""
BSC",""
"149","BAUCHI","BAUCHI SOUTH","PDP","Senate","DAHIRU GARBA","None","55","M","FSLC GCE MBA",""
"150","BAUCHI","BAUCHI NORTH","PDP","Senate","KAILA DAHUWA SAMAILA","None","60","M","WASC MBBS",""
"","","","","","DR.","","","","",""
"151","BAUCHI","BAUCHI","PDP","Senate","AHMED ABDUL NINGI","None","62","M","G.C.E. BSc.",""
"","","CENTRAL","","","","","","","",""
"152","BAUCHI","BAUCHI","PRP","Senate","IBRAHIM KALA","None","63","M","PRIMARY SCHOOL",""
"","","CENTRAL","","","","","","","CERTIFICATE Grade 111",""
& Grade 11 Certificate",""
Bacherlor of Agricultural",""
Technology (Crop",""
Production)",""
"153","BAUCHI","BAUCHI SOUTH","PRP","Senate","ZAKARIYA IDRIS","None","35","M","CERTIFICATE OF",""
PRIMARY EDUCATION",""
West African Senior",""
School Certificate",""
B.Tech (HONS) Applied",""
Botany",""
"154","BAUCHI","BAUCHI NORTH","PRP","Senate","MOHAMMED DAIYABU","None","56","M","certificate of primary",""
"","","","","","MOHAMMED","","","","education SENIOR",""
SCHOOL CERTIFICATE",""
EXAMINATION Higher",""
National Diploma",""
