STATE,CONSTITUENCY,PARTY,POSITION,CANDIDATE_NAME,PWD,AGE,GENDER,QUALIFICATIONS,REMARKS
AKWA IBIOM,AKWA IBOM NORTH EAST,NNPP,Senate,BASSEY ABASIAMANAM EFFIONG,None,45,M,PRIMARY CERTIFICATE SSCE ND,
AKWA IBIOM,AKWA IBOM SOUTH,NNPP,Senate,AFIA EKEREOBONG UDO,None,55,M,"PRIMARY CERTIFICATE WASC MBA BUSINESS ADMIN.,PGD BUSINESS MANAGEMENT AND ADMINIDTRATION OND & HND CIVIL ENGINEERING", 
AKWA IBIOM,AKWA IBOM NORTH WEST, NNPP,Senate,JOHN JULIUS OKON,None,41,M,PRIMARY CERTIFICATE SSCE,
AKWA IBIOM,AKWA IBOM NORTH EAST,NRM,Senate,EKONG ESEME BASSEY,None,65,M,FIRST SCHOOL LEAVING CERTIFICATE WEST AFRICAN SCHOOL CERTIFICATE OND,
AKWA IBIOM,AKWA IBOM NORTH WEST,NRM,Senate,UDONKANG AKAMIMO FIDELIS,None,41,M,FIRST SCHOOL LEAVING CERTIFICATE (FLSC) SSCE B.SC,
AKWA IBIOM,AKWA IBOM SOUTH,NRM,Senate,DUFF NSE AKWAOWO,None,36,F,FIRST SCHOOL LEAVING CERTIFICATE WAEC,
AKWA IBIOM,AKWA IBOM NORTH WEST,PDP,Senate,ENOIDEM MOSES EMMANUEL,None,58,M,FSLC GCE LLB,
AKWA IBIOM,AKWA IBOM SOUTH,PDP,Senate,AKPAN EKONG SAMPSON,None,55,M,FSLC GCE BL,
AKWA IBIOM,AKWA IBOM NORTH EAST,PDP,Senate,BASSEY ANIEKAN ETIM,None,43,M,FSLC SSCE MSC,
AKWA IBIOM,AKWA IBOM NORTH WEST,SDP,Senate,UDO GOGWIN ETIM,None,38,M,FSLC SSCE,
AKWA IBIOM,AKWA IBOM SOUTH,SDP,Senate,MOSES ANIEFIOK EDOHO,None,38,M,FSLC SSCE HND,
AKWA IBIOM,AKWA IBOM NORTH EAST,SDP,Senate,EKPE NKEREUWEM SUNDA,None,58,F,FSLC SSCE BSC,
AKWA IBIOM,AKWA IBOM SOUTH,YPP,Senate,INYANG-EYEN EPHRAIM AKPARAWA,None,56,M,FSLC WAEC B.SC,
AKWA IBIOM,AKWA IBOM NORTH WEST,YPP,Senate,EKON EMMANUEL BARTHOLOMEW,None,50,M,FSLC SSCE BSC,
AKWA IBIOM,AKWA IBOM NORTH EAST,YPP,Senate,AKPABIO USENOBONG OTU,None,55,M,FSLC WASSCE BSC,
AKWA IBIOM,AKWA IBOM SOUTH,ZLP,Senate,UMO BLESSING OKON,None,43,F,FIRST SCHOOL LEAVING CERTIFICATE NATIONAL DIPLOMA,
AKWA IBIOM,AKWA IBOM NORTH EAST, ZLP,Senate,UMOH NNAMONSO ITUEN,None,47,M,FIRST SCHOOL LEAVING CERTIFICATE WEST AFRICAN SCHOOL CERTIFICATE,
AKWA IBIOM,AKWA IBOM NORTH WEST,ZLP,Senate,EBIENANG UDO BASSEY,None,62,M,"FIRST SCHOOL LEAVING CERTIFICATE WEST,AFRICAN SCHOOL CERTIFICATE",
